"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","No.","Pic","Name","Type","Abilities","Base Stats","Base Stats","Base Stats","Base Stats","Base Stats","Base Stats",NA
"2","No.","Pic","Name","Type","Abilities","HP","Att","Def","S.Att","S.Def","Spd",NA
"3","#00001","","","Bulbasaur","","Overgrow Chlorophyll","45","49","49","65","65",45
"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","#00002","","","Ivysaur","","Overgrow Chlorophyll","60","62","63","80","80",60
"6","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","#00003","","","Venusaur","","Overgrow Chlorophyll","80","82","83","100","100",80
"8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","#00004","","","Charmander","","Blaze Solar Power","39","52","43","60","50",65
"10","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","#00005","","","Charmeleon","","Blaze Solar Power","58","64","58","80","65",80
"12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","#00006","","","Charizard","","Blaze Solar Power","78","84","78","109","85",100
"14","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","#00007","","","Squirtle","","Torrent Rain Dish","44","48","65","50","64",43
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","#00008","","","Wartortle","","Torrent Rain Dish","59","63","80","65","80",58
"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","#00009","","","Blastoise","","Torrent Rain Dish","79","83","100","85","105",78
"20","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","#00010","","","Caterpie","","Shield Dust Run Away","45","30","35","20","20",45
"22","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","#00011","","","Metapod","","Shed Skin","50","20","55","25","25",30
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","#00012","","","Butterfree","","Compoundeyes Tinted Lens","60","45","50","90","80",70
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","#00013","","","Weedle","","Shield Dust Run Away","40","35","30","20","20",50
"28","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","#00014","","","Kakuna","","Shed Skin","45","25","50","25","25",35
